stratum,year,total_dx,total_idu,n_counties_reporting,idu_share_pct
A_msa,2014,17044.0,672.0,83,3.94
A_msa,2015,16883.0,672.0,84,3.98
A_msa,2016,16600.0,633.0,83,3.81
A_msa,2017,16013.0,626.0,84,3.91
A_msa,2018,15464.0,653.0,83,4.22
A_msa,2019,15049.0,639.0,84,4.25
A_msa,2020,12491.0,560.0,83,4.48
A_msa,2021,14542.0,604.0,84,4.15
A_msa,2022,15286.0,644.0,84,4.21
A_msa,2023,15560.0,653.0,84,4.20
B_vuln_rural,2014,94.0,0.0,131,0.00
B_vuln_rural,2015,272.0,150.0,132,55.15
B_vuln_rural,2016,126.0,20.0,134,15.87
B_vuln_rural,2017,115.0,12.0,140,10.43
B_vuln_rural,2018,117.0,18.0,133,15.38
B_vuln_rural,2019,174.0,69.0,143,39.66
B_vuln_rural,2020,138.0,36.0,133,26.09
B_vuln_rural,2021,196.0,70.0,127,35.71
B_vuln_rural,2022,149.0,85.0,133,57.05
B_vuln_rural,2023,150.0,35.0,132,23.33
C_other,2014,20643.0,691.0,1905,3.35
C_other,2015,20333.0,658.0,1846,3.24
C_other,2016,20430.0,699.0,1833,3.42
C_other,2017,19801.0,856.0,1816,4.32
C_other,2018,19598.0,866.0,1835,4.42
C_other,2019,19326.0,880.0,1880,4.55
C_other,2020,15799.0,607.0,1847,3.84
C_other,2021,19048.0,882.0,1807,4.63
C_other,2022,20181.0,840.0,1835,4.16
C_other,2023,21074.0,755.0,1806,3.58
