msa,year,n_new_dx,n_idu_dx,idu_pct,n_counties_found,n_counties_total
Atlanta,2013,1300,31.639000000000003,2.4337692307692307,5,5
Austin,2013,261,8.57,3.2835249042145596,3,3
BatonRouge,2013,16,-0.16,-1.0,1,2
Bridgeport,2013,0,0.0,0.0,0,1
BrowardCO,2013,639,30.033,4.7,1,1
Charleston,2013,118,-0.98,-0.8305084745762712,3,3
Charlotte,2013,229,8.015,3.5,1,1
Columbia,2013,147,-1.47,-1.0,2,2
Dallas,2013,797,27.098,3.3999999999999995,1,1
Denver,2013,230,1.9349999999999998,0.8413043478260869,4,4
Detroit,2013,487,30.1,6.180698151950718,3,3
ElPaso,2013,117,7.956,6.8,1,1
FortWorth,2013,248,5.951999999999999,2.4,1,1
HamptonRoads,2013,0,0.0,0.0,0,3
Hartford,2013,0,0.0,0.0,0,1
Houston,2013,1226,42.91,3.5,1,1
Jackson,2013,95,-0.95,-1.0,1,1
Jacksonville,2013,283,5.9430000000000005,2.1,1,1
KansasCity,2013,113,7.006,6.2,1,1
LosAngeles,2013,1761,77.48400000000001,4.4,1,1
MiamiDadeCO,2013,1107,19.926000000000002,1.8,1,1
Milwaukee,2013,127,8.001,6.299999999999999,1,1
NewHaven,2013,0,0.0,0.0,0,1
NewOrleans,2013,358,14.950999999999999,4.176256983240223,2,2
NewYork,2013,2445,147.525,6.033742331288344,5,5
OrangeCO,2013,304,16.112000000000002,5.300000000000001,1,1
Orlando,2013,327,16.023000000000003,4.900000000000001,1,1
PalmBeachCO,2013,310,18.91,6.1,1,1
Phoenix,2013,464,25.983999999999995,5.6,1,1
Raleigh,2013,159,4.929,3.1,1,1
Richmond,2013,76,-0.76,-1.0,1,1
SanAntonio,2013,375,28.875,7.7,1,1
SanJuan,2013,0,0.0,0.0,0,1
StLouis,2013,222,-0.13000000000000012,-0.058558558558558606,2,2
Tampa,2013,438,26.093999999999998,5.957534246575341,2,2
Atlanta,2014,1348,40.308,2.9902077151335313,5,5
Austin,2014,296,9.39,3.1722972972972974,3,3
BatonRouge,2014,23,-0.23,-1.0,1,2
Bridgeport,2014,0,0.0,0.0,0,1
BrowardCO,2014,642,32.1,5.0,1,1
Charleston,2014,135,-1.35,-1.0,3,3
Charlotte,2014,298,8.046,2.6999999999999997,1,1
Columbia,2014,164,-1.6400000000000001,-1.0,2,2
Dallas,2014,880,24.64,2.8,1,1
Denver,2014,270,8.397,3.1100000000000003,4,4
Detroit,2014,508,22.956,4.518897637795275,3,3
ElPaso,2014,111,1.9980000000000002,1.8,1,1
FortWorth,2014,231,6.006,2.6,1,1
