state,year,n_new_dx,n_idu_dx,idu_pct
Alabama,2008,690,51.06,7.4
Alaska,2008,39,3.003,7.7
Arizona,2008,681,76.953,11.3
Arkansas,2008,221,13.039000000000001,5.9
California,2008,5670,419.58,7.4
Colorado,2008,417,17.096999999999998,4.1
Connecticut,2008,343,49.04900000000001,14.3
Delaware,2008,151,22.951999999999998,15.2
"Washington, D.C.",2008,1009,120.071,11.9
Florida,2008,5686,375.276,6.6
Georgia,2008,3108,202.02,6.5
Hawaii,2008,81,2.025,2.5
Idaho,2008,48,1.008,2.1
Illinois,2008,1768,183.872,10.4
Indiana,2008,463,36.114000000000004,7.8
Iowa,2008,95,7.03,7.4
Kansas,2008,139,11.953999999999999,8.6
Kentucky,2008,344,33.024,9.6
Louisiana,2008,1058,97.33599999999998,9.2
Maine,2008,46,5.014,10.9
Maryland,2008,1978,324.392,16.4
Massachusetts,2008,735,121.275,16.5
Michigan,2008,766,61.28,8.0
Minnesota,2008,328,20.008,6.1
Mississippi,2008,504,32.76,6.5
Missouri,2008,541,25.967999999999996,4.8
Montana,2008,21,1.995,9.5
Nebraska,2008,95,5.985,6.3
Nevada,2008,386,28.177999999999997,7.3
New Hampshire,2008,43,4.988,11.6
New Jersey,2008,1373,219.68,16.0
New Mexico,2008,153,16.065,10.5
New York,2008,4452,503.0760000000001,11.3
North Carolina,2008,1666,106.62400000000001,6.4
North Dakota,2008,13,0.0,0.0
Ohio,2008,1044,55.332,5.3
Oklahoma,2008,284,32.092000000000006,11.3
Oregon,2008,288,25.92,9.0
Pennsylvania,2008,1737,239.70600000000002,13.8
Rhode Island,2008,122,25.01,20.5
South Carolina,2008,695,47.26,6.8
South Dakota,2008,28,4.0040000000000004,14.3
Tennessee,2008,997,47.855999999999995,4.8
Texas,2008,4152,361.22399999999993,8.7
Utah,2008,132,10.956000000000001,8.3
Vermont,2008,17,2.0060000000000002,11.8
Virginia,2008,1055,61.19,5.8
Washington,2008,511,34.237,6.7
West Virginia,2008,80,10.0,12.5
Wisconsin,2008,237,17.064,7.2
Wyoming,2008,22,2.992,13.6
Puerto Rico,2008,910,258.44,28.4
Alabama,2009,682,36.828,5.4
Alaska,2009,21,4.998,23.8
Arizona,2009,639,63.9,10.0
Arkansas,2009,272,19.04,7.0
California,2009,5396,361.53200000000004,6.7
Colorado,2009,372,13.02,3.5
Connecticut,2009,338,53.065999999999995,15.7
Delaware,2009,149,21.009,14.1
"Washington, D.C.",2009,820,91.84,11.2
Florida,2009,4952,302.07199999999995,6.1
Georgia,2009,2876,166.808,5.8
Hawaii,2009,84,6.972,8.3
Idaho,2009,46,4.002,8.7
Illinois,2009,1703,146.458,8.6
Indiana,2009,458,27.938,6.1
Iowa,2009,123,12.054,9.8
Kansas,2009,152,10.032,6.6
Kentucky,2009,340,32.98,9.7
Louisiana,2009,1168,119.13599999999998,10.2
Maine,2009,56,7.0,12.5
Maryland,2009,1658,195.644,11.8
Massachusetts,2009,679,91.665,13.5
Michigan,2009,794,49.228,6.2
Minnesota,2009,380,14.82,3.9
Mississippi,2009,487,25.811,5.3
Missouri,2009,516,20.124,3.9
Montana,2009,29,2.0010000000000003,6.9
Nebraska,2009,109,10.027999999999999,9.2
Nevada,2009,364,24.024,6.6
New Hampshire,2009,37,3.9960000000000004,10.8
New Jersey,2009,1358,218.63800000000003,16.1
New Mexico,2009,159,13.038,8.2
New York,2009,4088,421.064,10.3
North Carolina,2009,1547,91.27300000000001,5.9
North Dakota,2009,12,0.9960000000000001,8.3
Ohio,2009,1032,54.696,5.3
Oklahoma,2009,296,26.936,9.1
Oregon,2009,248,25.048,10.1
Pennsylvania,2009,1619,228.27899999999997,14.1
Rhode Island,2009,117,12.051000000000002,10.3
South Carolina,2009,742,46.745999999999995,6.3
South Dakota,2009,23,2.001,8.7
Tennessee,2009,919,56.978,6.2
Texas,2009,4329,316.017,7.3
Utah,2009,122,5.978000000000001,4.9
Vermont,2009,17,3.995,23.5
Virginia,2009,960,53.76,5.6
Washington,2009,517,35.156,6.8
West Virginia,2009,73,10.001,13.7
Wisconsin,2009,278,21.962000000000003,7.9
Wyoming,2009,19,3.002,15.8
Puerto Rico,2009,827,191.037,23.1
Alabama,2010,678,37.29,5.5
Alaska,2010,36,2.988,8.3
Arizona,2010,615,49.815,8.1
Arkansas,2010,231,18.941999999999997,8.2
California,2010,5279,369.53,7.0
Colorado,2010,422,11.815999999999999,2.8
Connecticut,2010,385,60.06,15.6
Delaware,2010,121,7.018,5.8
"Washington, D.C.",2010,770,66.22,8.6
Florida,2010,4547,254.63199999999998,5.6
Georgia,2010,2613,138.489,5.3
Hawaii,2010,98,9.995999999999999,10.2
Idaho,2010,47,4.982,10.6
Illinois,2010,1640,131.2,8.0
Indiana,2010,481,28.86,6.0
Iowa,2010,113,5.989,5.3
Kansas,2010,136,2.9920000000000004,2.2
Kentucky,2010,327,28.122,8.6
Louisiana,2010,1099,93.415,8.5
Maine,2010,57,5.985,10.5
Maryland,2010,1714,174.828,10.2
Massachusetts,2010,697,103.85300000000001,14.9
Michigan,2010,757,68.887,9.1
Minnesota,2010,329,16.121000000000002,4.9
Mississippi,2010,449,30.083000000000002,6.7
Missouri,2010,566,31.13,5.5
Montana,2010,20,1.0,5.0
Nebraska,2010,113,9.04,8.0
Nevada,2010,371,21.147000000000002,5.7
New Hampshire,2010,50,1.0,2.0
New Jersey,2010,1332,182.48399999999998,13.7
New Mexico,2010,149,9.983,6.7
New York,2010,3880,368.6,9.5
North Carolina,2010,1426,82.708,5.8
North Dakota,2010,14,0.9939999999999999,7.1
Ohio,2010,977,41.034000000000006,4.2
Oklahoma,2010,283,18.961000000000002,6.7
Oregon,2010,238,14.042,5.9
Pennsylvania,2010,1465,168.475,11.5
Rhode Island,2010,114,18.012,15.8
South Carolina,2010,747,43.32599999999999,5.8
South Dakota,2010,32,4.0,12.5
Tennessee,2010,852,40.044000000000004,4.7
Texas,2010,4435,306.015,6.9
Utah,2010,83,1.992,2.4
Vermont,2010,20,1.0,5.0
Virginia,2010,985,50.235,5.1
Washington,2010,532,38.836,7.3
West Virginia,2010,73,5.985999999999999,8.2
Wisconsin,2010,248,13.888,5.6
Wyoming,2010,19,1.995,10.5
Puerto Rico,2010,778,142.37400000000002,18.3
Alabama,2011,660,25.08,3.8
Alaska,2011,24,4.007999999999999,16.7
Arizona,2011,564,56.964,10.1
