city,state,region,viral_suppression_pct,late_dx_pct,linkage_to_care_pct,idu_prevalence_pct,vl_mean_log10,vl_sd_log10,vl_profile,structural_delay_h,delay_category,pep_mean_efficacy_pct,pep_median_efficacy_pct,pep_ci95_lower_pct,pep_ci95_upper_pct,p_futile_pct,p_below_50pct,estimated_pwid_exposures,new_dx_cases,prevalence_rate,gini,poverty_pct,idu_frac,F_cov_gen,median_access_gen,F_access_72h_gen,ceiling_gen,irr_floor_gen,F_cov_PWID,median_access_PWID,F_access_24h_PWID,F_access_72h_PWID,ceiling_PWID,irr_floor_PWID,PURPOSE_transports_gen,PURPOSE_transports_PWID
Hartford,Connecticut,Northeast,69.0,37.2,82.1,23.4212,2.514,1.59,moderate_burden,24.4,high_barrier,78.79,81.48,54.13,89.17,0.0,1.24,0,70.0,340.0,0.467,9.8,0.2342119999999999,0.7614894000000001,24.4,0.9407517797472936,0.9858686714385948,0.014131328561405,0.5908682,73.19999999999999,0.05382902962456,0.4904874279742513,0.6128913677825495,0.3871086322174505,True,False
SanJuan,"Puerto
Rico",-1,52.1,16.1,63.0,22.152700000000003,3.017,1.715,moderate_burden,13.3,moderate_barrier,91.32,93.57,72.35,97.22,0.0,0.0,0,290.0,627.0,0.547,37.9,0.221527,0.83982365,13.3,0.9925863638762236,0.9988125108254652,0.0011874891745347,0.70377095,40.0,0.2305716363286102,0.8017801532404495,0.7720729667865697,0.2279270332134303,True,False
PalmBeachCO,Florida,South,64.8,25.9,75.9,4.994400000000001,2.574,1.614,moderate_burden,13.5,moderate_barrier,92.79,94.62,77.62,97.16,0.0,0.0,0,296.0,677.0,0.508,13.1,0.049944,0.8470028000000001,13.5,0.9921332051119326,0.9987964024091514,0.0012035975908486,0.7275083999999999,40.5,0.2251582426289213,0.7967518091904562,0.788862129787143,0.211137870212857,True,False
Columbia,"South
Carolina",South,72.0,28.4,89.0,5.722599999999999,2.361,1.517,low_burden,11.7,moderate_barrier,94.85,96.25,84.05,97.7,0.0,0.0,0,116.0,671.0,0.467,14.7,0.0572259999999999,0.8592387000000001,11.7,0.9956226626211886,0.99938384030002,0.00061615969998,0.7444161,40.0,0.2305716363286102,0.8017801532404495,0.8033464980422479,0.1966535019577521,True,False
NewHaven,Connecticut,Northeast,75.1,28.3,90.0,21.6096,2.325,1.498,low_burden,11.5,moderate_barrier,95.01,96.33,84.19,97.75,0.0,0.0,0,71.0,454.0,0.478,11.6,0.216096,0.8526952000000001,11.5,0.9959318778135088,0.9994007460749432,0.0005992539250566,0.7225856,40.0,0.2305716363286102,0.8017801532404495,0.7865494921491196,0.2134505078508803,True,False
Charleston,"South
Carolina",South,66.9,22.8,73.4,4.1681,2.508,1.588,moderate_burden,9.9,moderate_barrier,95.36,96.67,84.35,98.11,0.0,0.0,0,81.0,457.0,0.479,11.2,0.0416809999999999,0.87261595,9.9,0.9978984103285816,0.9997322909962164,0.0002677090037834,0.76474785,40.0,0.2305716363286102,0.8017801532404495,0.8189903231753237,0.1810096768246762,True,False
Raleigh,"North
Carolina",South,65.5,24.1,77.3,3.83,2.549,1.604,moderate_burden,9.7,moderate_barrier,95.46,96.79,84.88,98.15,0.0,0.0,0,148.0,419.0,0.449,8.6,0.0383,0.8741850000000001,9.7,0.9980856462591328,0.9997591455840928,0.0002408544159071,0.767255,40.0,0.2305716363286102,0.8017801532404495,0.8209193954973024,0.1790806045026975,True,False
Houston,Texas,South,57.8,22.1,75.2,4.44,2.782,1.677,moderate_burden,8.6,moderate_barrier,95.5,96.87,84.8,98.35,0.0,0.0,128,1297.0,774.0,0.483,13.6,0.0444,0.88158,8.6,0.998913789050198,0.9998713708993244,0.0001286291006755,0.77734,40.0,0.2305716363286102,0.8017801532404495,0.8286790805449283,0.1713209194550716,True,False
Jackson,Mississippi,South,51.8,14.3,76.2,3.2830000000000004,2.958,1.708,moderate_burden,6.2,low_barrier,96.28,97.42,86.1,98.7,0.0,0.0,0,108.0,782.0,0.49,17.4,0.03283,0.8989585000000001,6.2,0.9997981527842752,0.9999796050545524,2.0394945447699264e-05,0.8030754999999999,40.0,0.2305716363286102,0.8017801532404495,0.8484807041981933,0.1515192958018066,True,False
Richmond,Virginia,South,65.2,21.9,75.8,7.119,2.57,1.612,moderate_burden,7.8,low_barrier,96.3,97.35,87.78,98.48,0.0,0.0,0,188.0,504.0,0.461,10.0,0.07119,0.8858405,7.8,0.9993280837669372,0.9999232943787916,7.670562120831725e-05,0.7813215,40.0,0.2305716363286102,0.8017801532404495,0.831742559574886,0.168257440425114,True,False
NewYork,"New
York",Northeast,62.1,21.2,79.6,10.3672,2.674,1.648,moderate_burden,6.8,low_barrier,96.5,97.58,87.62,98.62,0.0,0.0,102,1603.0,1356.0,0.514,12.4,0.103672,0.8912164000000001,6.8,0.9996684402983884,0.9999639317420438,3.606825795621216e-05,0.7864492,40.0,0.2305716363286102,0.8017801532404495,0.8356879573952838,0.1643120426047162,True,False
OrangeCO,California,West,64.3,23.3,85.9,5.877599999999999,2.592,1.62,moderate_burden,7.0,low_barrier,96.57,97.56,88.68,98.59,0.0,0.0,84,258.0,273.0,0.491,12.6,0.0587759999999999,0.8920612,7.0,0.9996138973848572,0.9999583245470446,4.1675452955414194e-05,0.7911836,40.0,0.2305716363286102,0.8017801532404495,0.8393307390402496,0.1606692609597504,True,False
Jacksonville,Florida,South,66.2,19.8,72.6,6.3096000000000005,2.537,1.599,moderate_burden,6.5,low_barrier,96.85,97.75,89.4,98.66,0.0,0.0,70,327.0,623.0,0.465,12.1,0.063096,0.8953452000000001,6.5,0.9997392716826136,0.9999727135300897,2.7286469910459132e-05,0.7955355999999999,40.0,0.2305716363286102,0.8017801532404495,0.8426792912789475,0.1573207087210525,True,False
MiamiDadeCO,Florida,South,59.7,18.2,78.4,3.5775,2.722,1.661,moderate_burden,5.6,low_barrier,96.91,97.81,89.73,98.76,0.0,0.0,0,1007.0,1239.0,0.508,13.1,0.035775,0.90301125,5.6,0.999885423165894,0.9999888873360812,1.1112663918844136e-05,0.8086337499999999,40.0,0.2305716363286102,0.8017801532404495,0.8527573794005698,0.1472426205994301,True,False
HamptonRoads,Virginia,South,63.0,20.1,73.9,6.1592,2.632,1.634,moderate_burden,5.9,low_barrier,96.91,97.82,89.51,98.73,0.0,0.0,80,270.0,521.0,0.446,10.9,0.061592,0.8996204000000001,5.9,0.9998464345735042,0.9999845851639144,1.5414836085470007e-05,0.8017612,40.0,0.2305716363286102,0.8017801532404495,0.8474694444998201,0.1525305555001799,True,False
