msa,year,n_new_dx,n_idu_dx,idu_pct,n_counties_found,n_counties_total
Atlanta,2014,1348.0,40.0,2.9673590504451037,5,5
Austin,2014,296.0,10.0,3.3783783783783785,3,3
BatonRouge,2014,271.0,13.0,4.797047970479705,2,2
Bridgeport,2014,52.0,7.0,13.461538461538462,1,2
BrowardCO,2014,642.0,32.0,4.984423676012461,1,1
Charleston,2014,135.0,0.0,0.0,3,3
Charlotte,2014,298.0,8.0,2.684563758389262,1,1
Columbia,2014,164.0,0.0,0.0,2,2
Dallas,2014,880.0,25.0,2.840909090909091,1,1
Denver,2014,270.0,9.0,3.3333333333333335,4,4
Detroit,2014,508.0,23.0,4.52755905511811,3,3
ElPaso,2014,111.0,2.0,1.8018018018018018,1,1
FortWorth,2014,231.0,6.0,2.5974025974025974,1,1
HamptonRoads,2014,179.0,0.0,0.0,3,3
Hartford,2014,71.0,0.0,0.0,1,2
Houston,2014,1254.0,52.0,4.146730462519936,1,1
Jackson,2014,118.0,0.0,0.0,1,1
Jacksonville,2014,264.0,10.0,3.787878787878788,1,1
KansasCity,2014,100.0,3.0,3.0,1,1
LosAngeles,2014,2054.0,75.0,3.6514118792599803,1,1
MiamiDadeCO,2014,1122.0,26.0,2.3172905525846703,1,1
Milwaukee,2014,126.0,6.0,4.761904761904762,1,1
NewHaven,2014,64.0,0.0,0.0,1,2
NewOrleans,2014,339.0,14.0,4.129793510324483,2,2
NewYork,2014,2443.0,148.0,6.0581252558329926,5,5
OrangeCO,2014,287.0,22.0,7.665505226480836,1,1
Orlando,2014,359.0,12.0,3.3426183844011144,1,1
PalmBeachCO,2014,309.0,14.0,4.53074433656958,1,1
Phoenix,2014,542.0,37.0,6.826568265682657,1,1
Raleigh,2014,148.0,4.0,2.7027027027027026,1,1
Richmond,2014,78.0,0.0,0.0,1,1
SanAntonio,2014,323.0,24.0,7.430340557275541,1,1
SanJuan,2014,143.0,0.0,0.0,1,1
StLouis,2014,214.0,6.0,2.803738317757009,2,2
Tampa,2014,481.0,28.0,5.8212058212058215,2,2
Atlanta,2015,1428.0,36.0,2.5210084033613445,5,5
Austin,2015,329.0,10.0,3.0395136778115504,3,3
BatonRouge,2015,222.0,0.0,0.0,2,2
Bridgeport,2015,33.0,0.0,0.0,1,2
BrowardCO,2015,578.0,22.0,3.8062283737024223,1,1
Charleston,2015,117.0,0.0,0.0,3,3
Charlotte,2015,277.0,10.0,3.6101083032490973,1,1
Columbia,2015,149.0,0.0,0.0,2,2
Dallas,2015,807.0,37.0,4.584882280049566,1,1
Denver,2015,251.0,9.0,3.585657370517928,4,4
Detroit,2015,468.0,29.0,6.196581196581197,3,3
ElPaso,2015,121.0,7.0,5.785123966942149,1,1
FortWorth,2015,276.0,9.0,3.260869565217391,1,1
HamptonRoads,2015,165.0,0.0,0.0,3,3
Hartford,2015,86.0,0.0,0.0,1,2
Houston,2015,1252.0,60.0,4.792332268370607,1,1
Jackson,2015,134.0,0.0,0.0,1,1
Jacksonville,2015,261.0,7.0,2.681992337164751,1,1
KansasCity,2015,94.0,5.0,5.319148936170213,1,1
LosAngeles,2015,2009.0,78.0,3.8825286212045795,1,1
MiamiDadeCO,2015,1271.0,29.0,2.2816679779701023,1,1
Milwaukee,2015,123.0,4.0,3.252032520325203,1,1
NewHaven,2015,53.0,0.0,0.0,1,2
NewOrleans,2015,338.0,20.0,5.9171597633136095,2,2
NewYork,2015,2305.0,144.0,6.247288503253796,5,5
OrangeCO,2015,331.0,13.0,3.9274924471299095,1,1
Orlando,2015,406.0,18.0,4.433497536945813,1,1
PalmBeachCO,2015,267.0,9.0,3.3707865168539324,1,1
Phoenix,2015,498.0,33.0,6.626506024096385,1,1
Raleigh,2015,129.0,2.0,1.550387596899225,1,1
Richmond,2015,67.0,0.0,0.0,1,1
SanAntonio,2015,364.0,19.0,5.21978021978022,1,1
SanJuan,2015,142.0,15.0,10.56338028169014,1,1
StLouis,2015,210.0,0.0,0.0,2,2
Tampa,2015,487.0,30.0,6.160164271047228,2,2
Atlanta,2016,1342.0,37.0,2.7570789865871834,5,5
Austin,2016,292.0,9.0,3.0821917808219177,3,3
BatonRouge,2016,195.0,12.0,6.153846153846154,2,2
Bridgeport,2016,42.0,0.0,0.0,1,2
BrowardCO,2016,639.0,25.0,3.912363067292645,1,1
Charleston,2016,116.0,0.0,0.0,3,3
Charlotte,2016,256.0,11.0,4.296875,1,1
