statistic,value
ar1_phi_msa_avg,0.040212028249920435
ar1_halflife_years,0.2156925341500269
testretest_r_total_dx,0.9991968019107084
testretest_r_idu_share,0.8884028587550938
wilcoxon_n_msas,35.0
wilcoxon_median_delta,-14.799999999999997
wilcoxon_mean_delta,-52.33142857142856
wilcoxon_p,4.376188668277582e-05
state_n_units,52.0
state_idu_slope_mean,0.12038461538461499
state_idu_slope_median,-0.10000000000000026
state_idu_slope_p,0.44804901920295004
msa_n_units,35.0
msa_idu_slope_mean,-0.05084688896298292
msa_idu_slope_median,0.0
msa_idu_slope_p,0.4668690229006761
stratum_A_msa_idu_2014,656.0
stratum_A_msa_idu_2023,636.0
stratum_A_msa_idu_pct_change,-3.048780487804878
stratum_B_vuln_rural_idu_2014,46.0
stratum_B_vuln_rural_idu_2023,46.0
stratum_B_vuln_rural_idu_pct_change,0.0
stratum_C_other_idu_2014,541.0
stratum_C_other_idu_2023,641.0
stratum_C_other_idu_pct_change,18.484288354898336
