stratum,year,total_dx,total_idu,n_counties_reporting,idu_share_pct
A_msa,2014,16224.0,656.0,59,4.04
B_vuln_rural,2014,1186.0,46.0,126,3.88
C_other,2014,20251.0,541.0,1964,2.67
A_msa,2015,16048.0,655.0,59,4.08
B_vuln_rural,2015,1203.0,38.0,114,3.16
C_other,2015,20117.0,667.0,1919,3.32
A_msa,2016,15644.0,616.0,59,3.94
B_vuln_rural,2016,1167.0,33.0,125,2.83
C_other,2016,20225.0,583.0,1896,2.88
A_msa,2017,15133.0,621.0,59,4.1
B_vuln_rural,2017,1237.0,79.0,129,6.39
C_other,2017,19439.0,674.0,1882,3.47
A_msa,2018,14530.0,638.0,59,4.39
B_vuln_rural,2018,1091.0,93.0,124,8.52
C_other,2018,19438.0,686.0,1898,3.53
A_msa,2019,14142.0,624.0,59,4.41
B_vuln_rural,2019,1156.0,99.0,129,8.56
C_other,2019,19131.0,745.0,1949,3.89
A_msa,2020,11786.0,550.0,59,4.67
B_vuln_rural,2020,824.0,43.0,124,5.22
C_other,2020,15698.0,490.0,1910,3.12
A_msa,2021,13620.0,573.0,59,4.21
B_vuln_rural,2021,1089.0,66.0,114,6.06
C_other,2021,18957.0,797.0,1875,4.2
A_msa,2022,14329.0,614.0,59,4.29
B_vuln_rural,2022,1070.0,84.0,130,7.85
C_other,2022,20097.0,751.0,1893,3.74
A_msa,2023,14544.0,636.0,59,4.37
B_vuln_rural,2023,1125.0,46.0,125,4.09
C_other,2023,20995.0,641.0,1868,3.05
