state,year,n_new_dx,n_idu_dx,idu_pct
Alabama,2014,661,25,3.8
Alabama,2015,675,25,3.7
Alabama,2016,641,30,4.7
Alabama,2017,645,26,4.0
Alabama,2018,602,22,3.7
Alabama,2019,639,34,5.3
Alabama,2020,593,28,4.7
Alabama,2021,655,30,4.6
Alabama,2022,689,36,5.2
Alabama,2023,710,32,4.5
Alaska,2014,37,0,0.0
Alaska,2015,25,0,0.0
Alaska,2016,37,1,2.7
Alaska,2017,29,3,10.3
Alaska,2018,23,2,8.7
Alaska,2019,27,3,11.1
Alaska,2020,29,3,10.3
Alaska,2021,30,2,6.7
Alaska,2022,37,2,5.4
Alaska,2023,28,2,7.1
Arizona,2014,731,63,8.6
Arizona,2015,685,56,8.2
Arizona,2016,704,63,8.9
Arizona,2017,712,44,6.2
Arizona,2018,751,59,7.9
Arizona,2019,736,60,8.2
Arizona,2020,648,53,8.2
Arizona,2021,773,39,5.0
Arizona,2022,851,53,6.2
Arizona,2023,926,65,7.0
Arkansas,2014,305,19,6.2
Arkansas,2015,269,12,4.5
Arkansas,2016,310,11,3.5
Arkansas,2017,284,15,5.3
Arkansas,2018,278,13,4.7
Arkansas,2019,289,17,5.9
Arkansas,2020,244,10,4.1
Arkansas,2021,335,13,3.9
Arkansas,2022,306,14,4.6
Arkansas,2023,304,14,4.6
California,2014,5128,274,5.3
California,2015,5067,257,5.1
California,2016,5128,282,5.5
California,2017,4920,303,6.2
California,2018,4828,315,6.5
California,2019,4601,294,6.4
California,2020,4138,280,6.8
California,2021,4583,341,7.4
California,2022,4899,345,7.0
California,2023,4918,340,6.9
Colorado,2014,379,18,4.7
Colorado,2015,369,15,4.1
Colorado,2016,416,29,7.0
Colorado,2017,429,17,4.0
Colorado,2018,397,23,5.8
Colorado,2019,460,34,7.4
Colorado,2020,324,17,5.2
Colorado,2021,405,21,5.2
Colorado,2022,444,18,4.1
Colorado,2023,481,28,5.8
Connecticut,2014,291,34,11.7
Connecticut,2015,276,18,6.5
Connecticut,2016,257,20,7.8
Connecticut,2017,273,31,11.4
Connecticut,2018,258,21,8.1
Connecticut,2019,205,20,9.8
Connecticut,2020,176,14,8.0
Connecticut,2021,234,21,9.0
Connecticut,2022,223,14,6.3
Connecticut,2023,242,19,7.9
Delaware,2014,115,10,8.7
Delaware,2015,106,7,6.6
Delaware,2016,112,6,5.4
Delaware,2017,123,14,11.4
Delaware,2018,92,3,3.3
Delaware,2019,93,9,9.7
Delaware,2020,92,4,4.3
Delaware,2021,84,7,8.3
Delaware,2022,126,10,7.9
Delaware,2023,101,5,5.0
Florida,2014,4315,195,4.5
Florida,2015,4404,183,4.2
Florida,2016,4402,173,3.9
Florida,2017,4268,183,4.3
Florida,2018,4169,203,4.9
Florida,2019,3985,209,5.2
Florida,2020,3172,165,5.2
Florida,2021,3889,192,4.9
Florida,2022,4272,173,4.0
Florida,2023,4438,156,3.5
Georgia,2014,2350,83,3.5
Georgia,2015,2606,89,3.4
Georgia,2016,2502,92,3.7
Georgia,2017,2568,104,4.0
Georgia,2018,2491,80,3.2
Georgia,2019,2411,89,3.7
Georgia,2020,1972,67,3.4
Georgia,2021,2293,66,2.9
Georgia,2022,2483,71,2.9
Georgia,2023,2359,83,3.5
Hawaii,2014,98,6,6.1
Hawaii,2015,114,12,10.5
Hawaii,2016,76,4,5.3
Hawaii,2017,74,4,5.4
Hawaii,2018,74,4,5.4
Hawaii,2019,64,1,1.6
Hawaii,2020,53,8,15.1
Hawaii,2021,73,14,19.2
Hawaii,2022,78,12,15.4
Hawaii,2023,59,2,3.4
Idaho,2014,22,0,0.0
Idaho,2015,40,2,5.0
Idaho,2016,44,2,4.5
Idaho,2017,45,2,4.4
Idaho,2018,38,3,7.9
Idaho,2019,35,4,11.4
Idaho,2020,36,1,2.8
Idaho,2021,53,2,3.8
Idaho,2022,43,6,14.0
Idaho,2023,49,5,10.2
Illinois,2014,1528,63,4.1
Illinois,2015,1550,52,3.4
Illinois,2016,1485,70,4.7
Illinois,2017,1398,58,4.1
Illinois,2018,1382,66,4.8
Illinois,2019,1300,65,5.0
Illinois,2020,1096,55,5.0
Illinois,2021,1195,64,5.4
Illinois,2022,1294,56,4.3
Illinois,2023,1569,71,4.5
Indiana,2014,463,16,3.5
Indiana,2015,634,187,29.5
